"point_index","timestamp","cut_id","center_frequency","center_amplitude","peak_frequency","peak_amplitude","commanded_azimuth","commanded_elevation","commanded_pan","commanded_tilt","actual_azimuth","actual_elevation","actual_pan","actual_tilt"
"1","2026-03-02 22:38:14.470194+00:00","coarse","8457300203.0","-96.67","8457300205.0","-96.5","-180.0","-0.0","-180.0","0.0","-179.94","-0.0","-179.94","0.0"
"2","2026-03-02 22:38:17.781342+00:00","coarse","8457300203.0","-97.67","8457300203.0","-97.67","-175.0","-0.0","-175.0","0.0","-175.03","-0.0","-175.03","0.0"
"3","2026-03-02 22:38:20.966684+00:00","coarse","8457300203.0","-95.67","8457300203.0","-95.67","-170.0","-0.0","-170.0","0.0","-170.05","-0.0","-170.05","0.0"
"4","2026-03-02 22:38:24.283641+00:00","coarse","8457300203.0","-97.0","8457300203.0","-97.0","-165.0","-0.0","-165.0","0.0","-165.06","-0.0","-165.06","0.0"
"5","2026-03-02 22:38:27.407955+00:00","coarse","8457300203.0","-96.83","8457300203.0","-96.83","-160.0","-0.0","-160.0","0.0","-160.06","-0.0","-160.06","0.0"
"6","2026-03-02 22:38:30.651396+00:00","coarse","8457300203.0","-99.0","8457300203.0","-99.0","-155.0","-0.0","-155.0","0.0","-155.05","-0.0","-155.05","0.0"
"7","2026-03-02 22:38:33.851950+00:00","coarse","8457300203.0","-95.33","8457300203.0","-95.33","-150.0","-0.0","-150.0","0.0","-150.1","-0.0","-150.1","0.0"
"8","2026-03-02 22:38:37.155893+00:00","coarse","8457300203.0","-97.83","8457300205.0","-97.67","-145.0","-0.0","-145.0","0.0","-145.07","-0.0","-145.07","0.0"
"9","2026-03-02 22:38:40.366579+00:00","coarse","8457300203.0","-100.17","8457300205.0","-99.5","-140.0","-0.0","-140.0","0.0","-140.05","-0.0","-140.05","0.0"
"10","2026-03-02 22:38:43.626924+00:00","coarse","8457300203.0","-97.33","8457300205.0","-97.0","-135.0","-0.0","-135.0","0.0","-135.06","-0.0","-135.06","0.0"
"11","2026-03-02 22:38:46.831187+00:00","coarse","8457300203.0","-99.0","8457300203.0","-99.0","-130.0","-0.0","-130.0","0.0","-130.06","-0.0","-130.06","0.0"
"12","2026-03-02 22:38:50.001729+00:00","coarse","8457300203.0","-102.0","8457300205.0","-101.83","-125.00000000000001","-0.0","-125.0","0.0","-125.05000000000001","-0.0","-125.05","0.0"
"13","2026-03-02 22:38:53.211017+00:00","coarse","8457300203.0","-100.5","8457300203.0","-100.5","-119.99999999999999","-0.0","-120.0","0.0","-120.04999999999998","-0.0","-120.05","0.0"
"14","2026-03-02 22:38:56.515156+00:00","coarse","8457300203.0","-95.17","8457300203.0","-95.17","-115.0","-0.0","-115.0","0.0","-115.05","-0.0","-115.05","0.0"
"15","2026-03-02 22:38:59.607698+00:00","coarse","8457300203.0","-97.83","8457300203.0","-97.83","-110.0","-0.0","-110.0","0.0","-110.09","-0.0","-110.09","0.0"
"16","2026-03-02 22:39:02.757699+00:00","coarse","8457300203.0","-94.17","8457300203.0","-94.17","-105.00000000000001","-0.0","-105.0","0.0","-105.07","-0.0","-105.07","0.0"
"17","2026-03-02 22:39:05.865707+00:00","coarse","8457300203.0","-95.67","8457300205.0","-95.5","-100.0","-0.0","-100.0","0.0","-100.05","-0.0","-100.05","0.0"
